match_id,round,timestamp,event_type,details
match_8208e8306a,0,1,WeaponFire,Player Piet fired Glock-18 (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player Sigma Gabriel fired Knife (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player Kerchak fired Knife (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player Kerchak fired USP-S (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player deiff fired USP-S (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player AL#Capone 50 fired Knife (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player Mads fired Knife (speed=0.00)
match_8208e8306a,0,1,WeaponFire,Player Mads fired USP-S (speed=0.00)
match_8208e8306a,1,68,RoundStart,Round 1 started (freeze time)
match_8208e8306a,1,649,ItemPickup,Player Mads bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,665,ItemPickup,Player Thugy57 bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,792,ItemPickup,Player AL#Capone 50 bought Incendiary Grenade [finalMoney(after)=300 cost=500]
match_8208e8306a,1,795,ItemPickup,Player Sigma Gabriel bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,798,ItemPickup,Player PLOW bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,830,ItemPickup,Player deiff bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,866,ItemPickup,Player Lisalain Zack Meikok bought P250 [finalMoney(after)=500 cost=300]
match_8208e8306a,1,878,ItemPickup,Player AL#Capone 50 bought HE Grenade [finalMoney(after)=0 cost=300]
match_8208e8306a,1,890,ItemPickup,Player Lisalain Zack Meikok bought Smoke Grenade [finalMoney(after)=200 cost=300]
match_8208e8306a,1,899,ItemPickup,Player Piet bought Smoke Grenade [finalMoney(after)=500 cost=300]
match_8208e8306a,1,905,ItemPickup,Player Lisalain Zack Meikok bought Flashbang [finalMoney(after)=0 cost=200]
match_8208e8306a,1,921,ItemPickup,Player Piet bought Flashbang [finalMoney(after)=300 cost=200]
match_8208e8306a,1,936,ItemPickup,Player Piet bought HE Grenade [finalMoney(after)=0 cost=300]
match_8208e8306a,1,1158,ItemPickup,Player Kerchak bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_8208e8306a,1,1570,ItemPickup,Player fx_ bought Smoke Grenade [finalMoney(after)=500 cost=300]
match_8208e8306a,1,1605,ItemPickup,Player fx_ bought Tec-9 [finalMoney(after)=0 cost=500]
match_8208e8306a,1,1761,FreezeTimeEnded,"Round 1: freeze time ended, action begins!"
match_8208e8306a,1,1910,WeaponFire,Player Mads fired Knife (speed=499.96)
